Postcode,Average net tax 1,Percentage of total Average Tax paid,Average Salary 1,Percentage of Total State Income,Average Net Tax ,Average Salary
3158,12751,0.137424327,53764,0.164894656,0.088655114,0.359430655
3159,13480,0.145281149,55023,0.16875602,0.099060778,0.377085963
3160,15729,0.169519821,53687,0.164658497,0.131162751,0.358350862
3161,31818,0.342919554,65245,0.200106983,0.360815324,0.520431917
3162,25018,0.269632328,64565,0.198021417,0.26375289,0.510896088
3163,16938,0.182549859,60406,0.185265728,0.148419881,0.452573272
3165,16271,0.175361244,61413,0.188354206,0.138899198,0.466694713
3166,14586,0.1572011,56414,0.173022229,0.114847698,0.396592343
3167,13377,0.144171063,54398,0.16683914,0.097590568,0.368321414
3168,10968,0.118207985,43654,0.133887198,0.063204773,0.217655308
3169,10085,0.108691423,46232,0.141793947,0.050600931,0.25380732
3170,14068,0.151618338,54023,0.165689012,0.107453824,0.363062684
3171,8458,0.091156377,40730,0.124919265,0.027377316,0.176651241
3172,11478,0.123704527,48115,0.147569124,0.070484456,0.280213154
3173,11249,0.121236472,50080,0.153595796,0.067215736,0.307768896
3174,8682,0.093570544,43434,0.133212456,0.030574667,0.214570187
3175,9241,0.099595185,43657,0.133896399,0.03855377,0.217697378
3177,7804,0.08410787,41824,0.128274572,0.018042194,0.191992708
3178,13932,0.150152594,55362,0.169795736,0.105512575,0.381839854
3179,12658,0.136422016,51405,0.157659583,0.087327643,0.326349741
3180,12408,0.133727633,51538,0.158067495,0.083759171,0.328214837
3181,21615,0.232956382,67188,0.206066181,0.215178852,0.547679147
3182,21124,0.227664613,59933,0.183815033,0.208170373,0.445940261
3183,18285,0.197067196,58797,0.180330911,0.167646807,0.430009816
3184,23761,0.256084968,70332,0.215708857,0.245810614,0.591768335
3185,26514,0.285755517,70283,0.215558573,0.285106626,0.591081195
3186,52828,0.569355528,92895,0.284909774,0.660709698,0.908175571
3187,30387,0.327496904,79901,0.245057063,0.340389392,0.725957089
3188,33820,0.364496176,80182,0.245918893,0.389391647,0.72989763
3189,15376,0.165715352,58028,0.177972382,0.126124069,0.419225915
3190,17466,0.188240396,64476,0.197748454,0.155956493,0.509648016
3191,34333,0.37002505,81812,0.250918117,0.396714151,0.752755574
3192,16112,0.173647616,59252,0.1817264,0.13662965,0.436390408
3193,30415,0.327798675,77739,0.23842619,0.34078906,0.69563876
3194,17567,0.189328927,61399,0.188311268,0.157398156,0.466498387
3195,17241,0.185815451,61481,0.188562763,0.152744869,0.467648296
3196,13597,0.14654212,56793,0.174184626,0.100730823,0.401907166
3197,16788,0.180933229,57974,0.177806763,0.146278798,0.418468658
3198,11090,0.119522844,50876,0.156037135,0.064946187,0.318931426
3199,12300,0.132563659,50340,0.154393219,0.082217591,0.311414949
3200,7988,0.086090936,42123,0.129191608,0.020668589,0.196185668
3201,9860,0.106266478,48477,0.148679381,0.047389306,0.285289581
3202,15838,0.170694572,61826,0.189620881,0.132718605,0.472486327
3204,20377,0.219613796,65570,0.201103761,0.197507779,0.524989483
3205,28883,0.311287494,75530,0.231651168,0.318921465,0.664661338
3206,53940,0.581340145,99057,0.303808682,0.67658226,0.994587014
3207,31905,0.343857199,84823,0.26015288,0.362057153,0.794979666
3211,16359,0.176309667,59986,0.183977585,0.1401553,0.446683495
3212,13640,0.147005554,53248,0.16331208,0.1013446,0.352194643
3214,8731,0.094098643,42480,0.13028653,0.031274087,0.201191979
3215,12410,0.133749188,49961,0.153230822,0.083787719,0.306100126
3216,14000,0.150885466,51750,0.158717701,0.1064832,0.331187772
3217,12346,0.133059426,53425,0.16385494,0.08287419,0.354676763
3218,13982,0.15069147,54131,0.166020249,0.10622627,0.364577198
3219,10742,0.115772263,46765,0.143428662,0.059978875,0.261281728
3220,21656,0.233398261,57826,0.177352846,0.215764081,0.416393213
3221,17820,0.192055643,55678,0.170764911,0.161009449,0.38627121
3222,15336,0.16528425,48446,0.148584304,0.125553113,0.284854859
3223,12504,0.134762276,46389,0.142275467,0.085129464,0.256008975
3224,12188,0.131356576,49626,0.152203374,0.080618916,0.301402328
3225,20460,0.220508331,50468,0.154785796,0.198692512,0.313209928
3226,13823,0.148977843,51701,0.158567417,0.103956722,0.330500631
3227,20250,0.218245049,58918,0.180702019,0.195694996,0.431706633
3228,18695,0.201485985,56059,0.171933441,0.173499101,0.391614079
3230,12973,0.139816939,46635,0.143029951,0.091823917,0.259458701
3231,17048,0.183735387,49920,0.153105075,0.149990008,0.305525172
3232,13629,0.146887001,39288,0.120496638,0.101187587,0.156429673
3233,9075,0.097806115,36263,0.111218937,0.036184304,0.114009255
3235,10457,0.112700666,44283,0.135816347,0.055910817,0.22647595
3236,9327,0.100522053,45382,0.139186989,0.039781324,0.241887533
3237,7665,0.082609793,28523,0.087480289,0.016058123,0.005469079
3238,7642,0.082361909,38946,0.119447721,0.015729824,0.151633712
3239,11330,0.122109452,47277,0.144998971,0.06837192,0.268461646
3240,14009,0.150982464,51348,0.157484763,0.106611665,0.325550414
3241,10850,0.116936236,45995,0.141067066,0.061520454,0.250483803
3242,10528,0.11346587,40816,0.125183028,0.056924263,0.177857243
3243,30507,0.328790208,42144,0.129256015,0.342102258,0.196480157
3249,10805,0.116451247,43901,0.134644749,0.06087813,0.221119058
3250,10320,0.111224143,44455,0.136343872,0.053955294,0.228887954
3251,9777,0.105371943,45606,0.139873999,0.046204573,0.245028748
3254,9350,0.100769936,43169,0.132399699,0.040109623,0.210854018
3260,10519,0.113368873,43273,0.132718668,0.056795798,0.212312439
3264,11803,0.127207225,43270,0.132709467,0.075123469,0.212270369
3265,12560,0.135365818,40568,0.124422409,0.085928802,0.17437947
3266,10600,0.114241853,42169,0.12933269,0.057951983,0.196830739
3267,8870,0.09559672,34587,0.10607863,0.033258158,0.09050624
3268,14725,0.158699178,41985,0.128768361,0.116831768,0.194250456
3269,15894,0.171298114,46291,0.1419749,0.133517942,0.254634694
3270,13633,0.146930111,46810,0.143566678,0.101244683,0.261912775
3272,9669,0.104207969,38024,0.116619939,0.044662994,0.138704249
3273,9354,0.100813046,39306,0.120551844,0.040166719,0.156682092
3274,9115,0.098237216,35504,0.108891077,0.03675526,0.103365587
3275,9793,0.105544383,44707,0.137116758,0.046432956,0.23242182
3276,10666,0.11495317,42317,0.129786608,0.058894059,0.198906184
3277,18515,0.199546029,45880,0.14071436,0.170929801,0.248871126
3278,12026,0.129610615,42600,0.130654571,0.078306546,0.202874772
3280,12357,0.133177979,45022,0.138082866,0.083031203,0.236839153
3281,11777,0.126927009,48291,0.148108918,0.074752348,0.282681251
3282,9988,0.107646002,44658,0.136966475,0.049216364,0.23173468
3283,12169,0.131151803,44011,0.13498212,0.080347712,0.222661618
3284,13777,0.148482076,46395,0.142293869,0.103300123,0.256093115
3285,12295,0.132509772,46669,0.14313423,0.082146222,0.259935493
3286,10808,0.11648358,38406,0.117791537,0.060920951,0.144061141
3287,8437,0.090930048,35465,0.108771464,0.027077564,0.102818679
3289,9634,0.103830756,40021,0.122744756,0.044163407,0.166708737
3292,9636,0.103852311,30961,0.094957657,0.044191955,0.039657832
3293,8735,0.094141753,35556,0.109050562,0.031331183,0.104094797
3294,9752,0.105102505,37183,0.114040585,0.045847726,0.126910672
3300,10690,0.115211831,43727,0.13411109,0.059236633,0.218679007
3301,9477,0.102138683,42299,0.129731401,0.041922407,0.198653765
3302,9826,0.105900042,37608,0.115344064,0.046903994,0.132870565
3303,12000,0.129330399,42700,0.130961272,0.077935425,0.2042771
3304,10711,0.115438159,45772,0.140383123,0.059536384,0.247356612
3305,13557,0.146111019,51910,0.159208422,0.100159868,0.333431496
3309,7373,0.079462753,29682,0.091034953,0.011890148,0.021722059
3310,7891,0.085045515,37797,0.115923728,0.019284022,0.135520965
3311,8427,0.090822273,40820,0.125195296,0.026934825,0.177913336
3312,8094,0.087233354,37349,0.114549708,0.022181621,0.129238536
3314,12891,0.138933182,35864,0.1099952,0.090653459,0.108413967
3315,9758,0.10516717,38694,0.118674835,0.045933369,0.148099846
3317,10177,0.109682956,41388,0.126937357,0.051914128,0.185878558
3318,9729,0.104854621,39890,0.122342978,0.045519427,0.164871687
3319,8735,0.094141753,37645,0.115457543,0.031331183,0.133389426
3321,13554,0.146078686,53272,0.163385688,0.100117046,0.352531202
